"DATE__C","STATE__C","CURED__C","DEATHS__C","CONFIRMED__C","ERROR"
"2020-03-13T00:00:00Z","Haryana","0","0","14","Deaths: invalid number: 0"
"2020-03-13T00:00:00Z","Kerala","3","0","19","Deaths: invalid number: 0"
"2020-03-13T00:00:00Z","Rajasthan","0","0","3","Deaths: invalid number: 0"
"2020-03-13T00:00:00Z","Telengana","0","0","1","Deaths: invalid number: 0"
"2020-03-13T00:00:00Z","Uttar Pradesh","0","0","11","Deaths: invalid number: 0"
"2020-03-13T00:00:00Z","Ladakh","0","0","3","Deaths: invalid number: 0"
"2020-03-13T00:00:00Z","Tamil Nadu","0","0","1","Deaths: invalid number: 0"
"2020-03-13T00:00:00Z","Jammu and Kashmir","0","0","1","Deaths: invalid number: 0"
"2020-03-13T00:00:00Z","Punjab","0","0","1","Deaths: invalid number: 0"
"2020-03-13T00:00:00Z","Karnataka","0","1","6","Deaths: invalid number: 1"
"2020-03-13T00:00:00Z","Maharashtra","0","0","14","Deaths: invalid number: 0"
"2020-03-13T00:00:00Z","Andhra Pradesh","0","0","1","Deaths: invalid number: 0"
"2020-03-14T00:00:00Z","Delhi","1","1","7","Deaths: invalid number: 1"
"2020-03-14T00:00:00Z","Haryana","0","0","14","Deaths: invalid number: 0"
"2020-03-14T00:00:00Z","Kerala","3","0","19","Deaths: invalid number: 0"
"2020-03-14T00:00:00Z","Rajasthan","1","0","3","Deaths: invalid number: 0"
"2020-03-14T00:00:00Z","Telengana","0","0","1","Deaths: invalid number: 0"
"2020-03-14T00:00:00Z","Uttar Pradesh","5","0","12","Deaths: invalid number: 0"
"2020-03-14T00:00:00Z","Ladakh","0","0","3","Deaths: invalid number: 0"
"2020-03-14T00:00:00Z","Tamil Nadu","0","0","1","Deaths: invalid number: 0"
"2020-03-14T00:00:00Z","Jammu and Kashmir","0","0","2","Deaths: invalid number: 0"
"2020-03-14T00:00:00Z","Punjab","0","0","1","Deaths: invalid number: 0"
"2020-03-14T00:00:00Z","Karnataka","0","1","6","Deaths: invalid number: 1"
"2020-03-14T00:00:00Z","Maharashtra","0","0","14","Deaths: invalid number: 0"
